Iteration: 100, Eval Loss: 5.809670448303223
Iteration: 200, Eval Loss: 4.94376277923584
Iteration: 300, Eval Loss: 4.167811393737793
Iteration: 400, Eval Loss: 3.784119129180908
Iteration: 500, Eval Loss: 3.623991012573242
Iteration: 600, Eval Loss: 3.4997427463531494
Iteration: 700, Eval Loss: 3.386216163635254
Iteration: 800, Eval Loss: 3.3312132358551025
Iteration: 900, Eval Loss: 3.2032437324523926
Iteration: 1000, Eval Loss: 3.1460256576538086
Iteration: 1100, Eval Loss: 3.1483354568481445
Iteration: 1200, Eval Loss: 3.0769588947296143
Iteration: 1300, Eval Loss: 3.05363392829895
Iteration: 1400, Eval Loss: 3.001532793045044
Iteration: 1500, Eval Loss: 2.9309298992156982
Iteration: 1600, Eval Loss: 2.9104926586151123
Iteration: 1700, Eval Loss: 2.882119655609131
Iteration: 1800, Eval Loss: 2.8786933422088623
Iteration: 1900, Eval Loss: 2.8849854469299316
Iteration: 2000, Eval Loss: 2.8021717071533203
Iteration: 2100, Eval Loss: 2.7989890575408936
Iteration: 2200, Eval Loss: 2.755568504333496
Iteration: 2300, Eval Loss: 2.8106865882873535
Iteration: 2400, Eval Loss: 2.778071641921997
Iteration: 2500, Eval Loss: 2.7219457626342773
Iteration: 2600, Eval Loss: 2.64683198928833
Iteration: 2700, Eval Loss: 2.6930766105651855
Iteration: 2800, Eval Loss: 2.638531446456909
Iteration: 2900, Eval Loss: 2.6343300342559814
Iteration: 3000, Eval Loss: 2.671177864074707
Iteration: 3100, Eval Loss: 2.6286754608154297
Iteration: 3200, Eval Loss: 2.619753360748291
Iteration: 3300, Eval Loss: 2.570429801940918
Iteration: 3400, Eval Loss: 2.6117160320281982
Iteration: 3500, Eval Loss: 2.5741403102874756
Iteration: 3600, Eval Loss: 2.481121301651001
Iteration: 3700, Eval Loss: 2.5506021976470947
Iteration: 3800, Eval Loss: 2.544337511062622
Iteration: 3900, Eval Loss: 2.507509469985962
Iteration: 4000, Eval Loss: 2.5222573280334473
Iteration: 4100, Eval Loss: 2.5308587551116943
Iteration: 4200, Eval Loss: 2.529093027114868
Iteration: 4300, Eval Loss: 2.466395139694214
Iteration: 4400, Eval Loss: 2.5197865962982178
Iteration: 4500, Eval Loss: 2.535954475402832
Iteration: 4600, Eval Loss: 2.5209436416625977
Iteration: 4700, Eval Loss: 2.446251630783081
Iteration: 4800, Eval Loss: 2.4709489345550537
Iteration: 4900, Eval Loss: 2.446305274963379
Iteration: 5000, Eval Loss: 2.4634249210357666
Iteration: 5100, Eval Loss: 2.4470183849334717
Iteration: 5200, Eval Loss: 2.3997397422790527
Iteration: 5300, Eval Loss: 2.423901081085205
Iteration: 5400, Eval Loss: 2.3660542964935303
Iteration: 5500, Eval Loss: 2.3993754386901855
Iteration: 5600, Eval Loss: 2.4441165924072266
Iteration: 5700, Eval Loss: 2.3943066596984863
Iteration: 5800, Eval Loss: 2.4062838554382324
Iteration: 5900, Eval Loss: 2.387425661087036
Iteration: 6000, Eval Loss: 2.403367280960083
Iteration: 6100, Eval Loss: 2.3421413898468018
Iteration: 6200, Eval Loss: 2.3910739421844482
Iteration: 6300, Eval Loss: 2.410789728164673
Iteration: 6400, Eval Loss: 2.3690075874328613
Iteration: 6500, Eval Loss: 2.382899045944214
Iteration: 6600, Eval Loss: 2.3361122608184814
Iteration: 6700, Eval Loss: 2.406735897064209
Iteration: 6800, Eval Loss: 2.2921998500823975
Iteration: 6900, Eval Loss: 2.3343214988708496
Iteration: 7000, Eval Loss: 2.340151071548462
Iteration: 7100, Eval Loss: 2.3365495204925537
Iteration: 7200, Eval Loss: 2.3403451442718506
Iteration: 7300, Eval Loss: 2.338435411453247
Iteration: 7400, Eval Loss: 2.2797725200653076
Iteration: 7500, Eval Loss: 2.2644336223602295
Iteration: 7600, Eval Loss: 2.344006299972534
Iteration: 7700, Eval Loss: 2.2859766483306885
Iteration: 7800, Eval Loss: 2.2896835803985596
Iteration: 7900, Eval Loss: 2.2860186100006104
Iteration: 8000, Eval Loss: 2.3054940700531006
Iteration: 8100, Eval Loss: 2.3034701347351074
Iteration: 8200, Eval Loss: 2.274733066558838
Iteration: 8300, Eval Loss: 2.240163803100586
Iteration: 8400, Eval Loss: 2.281060218811035
Iteration: 8500, Eval Loss: 2.2970082759857178
Iteration: 8600, Eval Loss: 2.3104801177978516
Iteration: 8700, Eval Loss: 2.2584047317504883
Iteration: 8800, Eval Loss: 2.223238706588745
Iteration: 8900, Eval Loss: 2.2607192993164062
Iteration: 9000, Eval Loss: 2.2741334438323975
Iteration: 9100, Eval Loss: 2.3020122051239014
Iteration: 9200, Eval Loss: 2.258087158203125
Iteration: 9300, Eval Loss: 2.2193729877471924
Iteration: 9400, Eval Loss: 2.238279342651367
Iteration: 9500, Eval Loss: 2.2675280570983887
Iteration: 9600, Eval Loss: 2.2319281101226807
Iteration: 9700, Eval Loss: 2.2065606117248535
Iteration: 9800, Eval Loss: 2.2299716472625732
Iteration: 9900, Eval Loss: 2.2326557636260986
Iteration: 10000, Eval Loss: 2.2262794971466064
Iteration: 10100, Eval Loss: 2.2656493186950684
Iteration: 10200, Eval Loss: 2.2882742881774902
Iteration: 10300, Eval Loss: 2.2430808544158936
Iteration: 10400, Eval Loss: 2.1923389434814453
Iteration: 10500, Eval Loss: 2.2142107486724854
Iteration: 10600, Eval Loss: 2.1936559677124023
Iteration: 10700, Eval Loss: 2.2062947750091553
Iteration: 10800, Eval Loss: 2.2113654613494873
Iteration: 10900, Eval Loss: 2.2269515991210938
Iteration: 11000, Eval Loss: 2.2154698371887207
Iteration: 11100, Eval Loss: 2.184518814086914
Iteration: 11200, Eval Loss: 2.210739850997925
Iteration: 11300, Eval Loss: 2.1931958198547363
Iteration: 11400, Eval Loss: 2.1834070682525635
Iteration: 11500, Eval Loss: 2.194727897644043
Iteration: 11600, Eval Loss: 2.199819803237915
Iteration: 11700, Eval Loss: 2.1777803897857666
Iteration: 11800, Eval Loss: 2.1404592990875244
Iteration: 11900, Eval Loss: 2.2243704795837402
Iteration: 12000, Eval Loss: 2.208336114883423
Iteration: 12100, Eval Loss: 2.2144992351531982
Iteration: 12200, Eval Loss: 2.147642135620117
Iteration: 12300, Eval Loss: 2.206430673599243
Iteration: 12400, Eval Loss: 2.1995925903320312
Iteration: 12500, Eval Loss: 2.120832681655884
Iteration: 12600, Eval Loss: 2.180466651916504
Iteration: 12700, Eval Loss: 2.1698338985443115
Iteration: 12800, Eval Loss: 2.1625008583068848
Iteration: 12900, Eval Loss: 2.1617300510406494
Iteration: 13000, Eval Loss: 2.1641788482666016
Iteration: 13100, Eval Loss: 2.1738975048065186
Iteration: 13200, Eval Loss: 2.113576650619507
Iteration: 13300, Eval Loss: 2.1585373878479004
Iteration: 13400, Eval Loss: 2.177880048751831
Iteration: 13500, Eval Loss: 2.1534571647644043
Iteration: 13600, Eval Loss: 2.1198198795318604
Iteration: 13700, Eval Loss: 2.1229491233825684
Iteration: 13800, Eval Loss: 2.099668502807617
Iteration: 13900, Eval Loss: 2.1218807697296143
