Iteration: 100, Eval Loss: 5.498298168182373
Iteration: 200, Eval Loss: 4.491287708282471
Iteration: 300, Eval Loss: 3.9281728267669678
Iteration: 400, Eval Loss: 3.708165407180786
Iteration: 500, Eval Loss: 3.5182764530181885
Iteration: 600, Eval Loss: 3.3699147701263428
Iteration: 700, Eval Loss: 3.321211099624634
Iteration: 800, Eval Loss: 3.2105941772460938
Iteration: 900, Eval Loss: 3.202043056488037
Iteration: 1000, Eval Loss: 3.107226610183716
Iteration: 1100, Eval Loss: 3.123197555541992
Iteration: 1200, Eval Loss: 3.0208046436309814
Iteration: 1300, Eval Loss: 2.9927022457122803
Iteration: 1400, Eval Loss: 2.999988079071045
Iteration: 1500, Eval Loss: 2.905958652496338
Iteration: 1600, Eval Loss: 2.8698673248291016
Iteration: 1700, Eval Loss: 2.8441052436828613
Iteration: 1800, Eval Loss: 2.8723490238189697
Iteration: 1900, Eval Loss: 2.8426525592803955
Iteration: 2000, Eval Loss: 2.748522996902466
Iteration: 2100, Eval Loss: 2.7555575370788574
Iteration: 2200, Eval Loss: 2.740835189819336
Iteration: 2300, Eval Loss: 2.741426944732666
Iteration: 2400, Eval Loss: 2.7106761932373047
Iteration: 2500, Eval Loss: 2.6960926055908203
Iteration: 2600, Eval Loss: 2.67035174369812
Iteration: 2700, Eval Loss: 2.657825231552124
Iteration: 2800, Eval Loss: 2.638929843902588
Iteration: 2900, Eval Loss: 2.623373508453369
Iteration: 3000, Eval Loss: 2.638881206512451
Iteration: 3100, Eval Loss: 2.5648696422576904
Iteration: 3200, Eval Loss: 2.5813419818878174
Iteration: 3300, Eval Loss: 2.602293014526367
Iteration: 3400, Eval Loss: 2.6054084300994873
Iteration: 3500, Eval Loss: 2.550079345703125
Iteration: 3600, Eval Loss: 2.530810594558716
Iteration: 3700, Eval Loss: 2.594662666320801
Iteration: 3800, Eval Loss: 2.526075839996338
Iteration: 3900, Eval Loss: 2.555748701095581
Iteration: 4000, Eval Loss: 2.4950413703918457
Iteration: 4100, Eval Loss: 2.5484132766723633
Iteration: 4200, Eval Loss: 2.459506034851074
Iteration: 4300, Eval Loss: 2.4500248432159424
Iteration: 4400, Eval Loss: 2.488769054412842
Iteration: 4500, Eval Loss: 2.4632956981658936
Iteration: 4600, Eval Loss: 2.429574489593506
Iteration: 4700, Eval Loss: 2.440354824066162
Iteration: 4800, Eval Loss: 2.4435980319976807
Iteration: 4900, Eval Loss: 2.412851333618164
Iteration: 5000, Eval Loss: 2.423705577850342
Iteration: 5100, Eval Loss: 2.437323808670044
Iteration: 5200, Eval Loss: 2.4123921394348145
Iteration: 5300, Eval Loss: 2.4075887203216553
Iteration: 5400, Eval Loss: 2.4415969848632812
Iteration: 5500, Eval Loss: 2.420243263244629
