Iteration: 64, Eval Loss: 5.746952533721924, time: 2.587999105453491, samples: 4096x128=524288 tokens
Iteration: 128, Eval Loss: 4.745335102081299, time: 5.315611839294434, samples: 8192x128=1048576 tokens
Iteration: 192, Eval Loss: 4.359179496765137, time: 8.088657140731812, samples: 12288x128=1572864 tokens
Iteration: 256, Eval Loss: 3.8394227027893066, time: 11.73323106765747, samples: 16384x128=2097152 tokens
Iteration: 320, Eval Loss: 3.6485419273376465, time: 15.348925828933716, samples: 20480x128=2621440 tokens
Iteration: 384, Eval Loss: 3.585850715637207, time: 18.97717833518982, samples: 24576x128=3145728 tokens
Iteration: 448, Eval Loss: 3.544215202331543, time: 22.590888023376465, samples: 28672x128=3670016 tokens
Iteration: 512, Eval Loss: 3.4425506591796875, time: 26.176300287246704, samples: 32768x128=4194304 tokens
Iteration: 576, Eval Loss: 3.3801400661468506, time: 29.82163166999817, samples: 36864x128=4718592 tokens
Iteration: 640, Eval Loss: 3.264925241470337, time: 33.461960792541504, samples: 40960x128=5242880 tokens
Iteration: 704, Eval Loss: 3.3034849166870117, time: 37.030821323394775, samples: 45056x128=5767168 tokens
Iteration: 768, Eval Loss: 3.2598273754119873, time: 40.639761447906494, samples: 49152x128=6291456 tokens
Iteration: 832, Eval Loss: 3.17401385307312, time: 44.250011682510376, samples: 53248x128=6815744 tokens
Iteration: 896, Eval Loss: 3.1368248462677, time: 47.801114559173584, samples: 57344x128=7340032 tokens
Iteration: 960, Eval Loss: 3.130739450454712, time: 51.378376960754395, samples: 61440x128=7864320 tokens
Iteration: 1024, Eval Loss: 3.1854805946350098, time: 54.9809992313385, samples: 65536x128=8388608 tokens
Iteration: 1088, Eval Loss: 3.0932116508483887, time: 58.55403280258179, samples: 69632x128=8912896 tokens
Iteration: 1152, Eval Loss: 3.1122384071350098, time: 62.17066979408264, samples: 73728x128=9437184 tokens
Iteration: 1216, Eval Loss: 2.9500343799591064, time: 65.76126956939697, samples: 77824x128=9961472 tokens
Iteration: 1280, Eval Loss: 3.110248565673828, time: 69.34234070777893, samples: 81920x128=10485760 tokens
Iteration: 1344, Eval Loss: 2.9338343143463135, time: 72.97982835769653, samples: 86016x128=11010048 tokens
Iteration: 1408, Eval Loss: 2.9485955238342285, time: 76.56075477600098, samples: 90112x128=11534336 tokens
Iteration: 1472, Eval Loss: 3.0079164505004883, time: 80.15144324302673, samples: 94208x128=12058624 tokens
Iteration: 1536, Eval Loss: 2.882781744003296, time: 83.75981092453003, samples: 98304x128=12582912 tokens
Iteration: 1600, Eval Loss: 3.0115575790405273, time: 87.41060709953308, samples: 102400x128=13107200 tokens
Iteration: 1664, Eval Loss: 2.8511195182800293, time: 90.94518876075745, samples: 106496x128=13631488 tokens
Iteration: 1728, Eval Loss: 2.9050419330596924, time: 94.5625696182251, samples: 110592x128=14155776 tokens
Iteration: 1792, Eval Loss: 2.953233003616333, time: 98.18072009086609, samples: 114688x128=14680064 tokens
Iteration: 1856, Eval Loss: 3.015122890472412, time: 101.83008599281311, samples: 118784x128=15204352 tokens
Iteration: 1920, Eval Loss: 2.893890857696533, time: 105.45840859413147, samples: 122880x128=15728640 tokens
Iteration: 1984, Eval Loss: 2.869353771209717, time: 108.35421562194824, samples: 126976x128=16252928 tokens
Iteration: 2048, Eval Loss: 2.880202531814575, time: 111.04027938842773, samples: 131072x128=16777216 tokens
Iteration: 2112, Eval Loss: 2.8229520320892334, time: 113.77014899253845, samples: 135168x128=17301504 tokens
Iteration: 2176, Eval Loss: 2.7922987937927246, time: 116.47485446929932, samples: 139264x128=17825792 tokens
Iteration: 2240, Eval Loss: 2.8888144493103027, time: 119.17727851867676, samples: 143360x128=18350080 tokens
Iteration: 2304, Eval Loss: 2.817333459854126, time: 121.86452007293701, samples: 147456x128=18874368 tokens
Iteration: 2368, Eval Loss: 2.891789197921753, time: 124.57738590240479, samples: 151552x128=19398656 tokens
Iteration: 2432, Eval Loss: 2.871547222137451, time: 127.24931287765503, samples: 155648x128=19922944 tokens
Iteration: 2496, Eval Loss: 2.816648483276367, time: 129.94074821472168, samples: 159744x128=20447232 tokens
Iteration: 2560, Eval Loss: 2.777219772338867, time: 132.655659198761, samples: 163840x128=20971520 tokens
Iteration: 2624, Eval Loss: 2.6455888748168945, time: 136.2860813140869, samples: 167936x128=21495808 tokens
Iteration: 2688, Eval Loss: 2.8018059730529785, time: 139.95957851409912, samples: 172032x128=22020096 tokens
