Iteration: 8, Eval Loss: 5.951435565948486, time: 2.4522979259490967, samples: 4096x128=524288 tokens
Iteration: 16, Eval Loss: 5.7626824378967285, time: 5.300357341766357, samples: 8192x128=1048576 tokens
Iteration: 24, Eval Loss: 5.21892786026001, time: 8.084672451019287, samples: 12288x128=1572864 tokens
Iteration: 32, Eval Loss: 4.632499694824219, time: 10.912731170654297, samples: 16384x128=2097152 tokens
Iteration: 40, Eval Loss: 4.316227436065674, time: 13.708362817764282, samples: 20480x128=2621440 tokens
Iteration: 48, Eval Loss: 4.016197204589844, time: 16.494958877563477, samples: 24576x128=3145728 tokens
Iteration: 56, Eval Loss: 3.8497092723846436, time: 19.27043080329895, samples: 28672x128=3670016 tokens
Iteration: 64, Eval Loss: 3.748324394226074, time: 22.05474615097046, samples: 32768x128=4194304 tokens
Iteration: 72, Eval Loss: 3.623020648956299, time: 24.84483003616333, samples: 36864x128=4718592 tokens
Iteration: 80, Eval Loss: 3.5663976669311523, time: 27.66430401802063, samples: 40960x128=5242880 tokens
Iteration: 88, Eval Loss: 3.4694557189941406, time: 30.453445434570312, samples: 45056x128=5767168 tokens
Iteration: 96, Eval Loss: 3.4501123428344727, time: 33.24862003326416, samples: 49152x128=6291456 tokens
Iteration: 104, Eval Loss: 3.371070623397827, time: 36.04456877708435, samples: 53248x128=6815744 tokens
Iteration: 112, Eval Loss: 3.3238162994384766, time: 38.84880518913269, samples: 57344x128=7340032 tokens
Iteration: 120, Eval Loss: 3.2809739112854004, time: 41.66088628768921, samples: 61440x128=7864320 tokens
Iteration: 128, Eval Loss: 3.1998708248138428, time: 44.48876428604126, samples: 65536x128=8388608 tokens
Iteration: 136, Eval Loss: 3.1863980293273926, time: 47.289231300354004, samples: 69632x128=8912896 tokens
Iteration: 144, Eval Loss: 3.147308588027954, time: 50.10109567642212, samples: 73728x128=9437184 tokens
Iteration: 152, Eval Loss: 3.1134700775146484, time: 52.86515283584595, samples: 77824x128=9961472 tokens
Iteration: 160, Eval Loss: 3.0876712799072266, time: 55.67281675338745, samples: 81920x128=10485760 tokens
Iteration: 168, Eval Loss: 3.07118821144104, time: 58.467041015625, samples: 86016x128=11010048 tokens
Iteration: 176, Eval Loss: 3.041023015975952, time: 61.298452615737915, samples: 90112x128=11534336 tokens
Iteration: 184, Eval Loss: 3.0312061309814453, time: 64.13376379013062, samples: 94208x128=12058624 tokens
Iteration: 192, Eval Loss: 3.0053272247314453, time: 66.96296787261963, samples: 98304x128=12582912 tokens
Iteration: 200, Eval Loss: 2.9791696071624756, time: 69.7841432094574, samples: 102400x128=13107200 tokens
Iteration: 208, Eval Loss: 2.973917007446289, time: 72.62439942359924, samples: 106496x128=13631488 tokens
Iteration: 216, Eval Loss: 2.9525644779205322, time: 75.42003154754639, samples: 110592x128=14155776 tokens
Iteration: 224, Eval Loss: 2.918861150741577, time: 78.25690603256226, samples: 114688x128=14680064 tokens
Iteration: 232, Eval Loss: 2.8965718746185303, time: 81.1342704296112, samples: 118784x128=15204352 tokens
Iteration: 240, Eval Loss: 2.905595302581787, time: 83.98998308181763, samples: 122880x128=15728640 tokens
Iteration: 248, Eval Loss: 2.8580985069274902, time: 86.93851041793823, samples: 126976x128=16252928 tokens
Iteration: 256, Eval Loss: 2.90521240234375, time: 90.36515069007874, samples: 131072x128=16777216 tokens
Iteration: 264, Eval Loss: 2.8268518447875977, time: 93.81909155845642, samples: 135168x128=17301504 tokens
Iteration: 272, Eval Loss: 2.8504714965820312, time: 97.25294089317322, samples: 139264x128=17825792 tokens
Iteration: 280, Eval Loss: 2.812769889831543, time: 100.63172626495361, samples: 143360x128=18350080 tokens
Iteration: 288, Eval Loss: 2.8280811309814453, time: 104.03127861022949, samples: 147456x128=18874368 tokens
Iteration: 296, Eval Loss: 2.7878239154815674, time: 107.42648410797119, samples: 151552x128=19398656 tokens
Iteration: 304, Eval Loss: 2.802929162979126, time: 110.83990693092346, samples: 155648x128=19922944 tokens
Iteration: 312, Eval Loss: 2.8141729831695557, time: 114.29867029190063, samples: 159744x128=20447232 tokens
Iteration: 320, Eval Loss: 2.750979423522949, time: 117.70078182220459, samples: 163840x128=20971520 tokens
Iteration: 328, Eval Loss: 2.787559986114502, time: 121.16683030128479, samples: 167936x128=21495808 tokens
Iteration: 336, Eval Loss: 2.7873077392578125, time: 124.6169376373291, samples: 172032x128=22020096 tokens
